,date,county,state,fips,cases,deaths
1469091,2021-06-30,Autauga,Alabama,1001.0,7257,113.0
1469092,2021-06-30,Baldwin,Alabama,1003.0,22027,315.0
1469093,2021-06-30,Barbour,Alabama,1005.0,2346,60.0
1469094,2021-06-30,Bibb,Alabama,1007.0,2693,64.0
1469095,2021-06-30,Blount,Alabama,1009.0,6987,139.0
1469096,2021-06-30,Bullock,Alabama,1011.0,1249,42.0
1469097,2021-06-30,Butler,Alabama,1013.0,2262,71.0
1469098,2021-06-30,Calhoun,Alabama,1015.0,14776,330.0
1469099,2021-06-30,Chambers,Alabama,1017.0,3736,123.0
1469100,2021-06-30,Cherokee,Alabama,1019.0,1874,45.0
1469101,2021-06-30,Chilton,Alabama,1021.0,4481,116.0
1469102,2021-06-30,Choctaw,Alabama,1023.0,624,25.0
1469103,2021-06-30,Clarke,Alabama,1025.0,3533,61.0
1469104,2021-06-30,Clay,Alabama,1027.0,1603,59.0
1469105,2021-06-30,Cleburne,Alabama,1029.0,1542,43.0
1469106,2021-06-30,Coffee,Alabama,1031.0,5673,128.0
1469107,2021-06-30,Colbert,Alabama,1033.0,6431,140.0
1469108,2021-06-30,Conecuh,Alabama,1035.0,1142,30.0
1469109,2021-06-30,Coosa,Alabama,1037.0,1123,29.0
1469110,2021-06-30,Covington,Alabama,1039.0,4296,124.0
1469111,2021-06-30,Crenshaw,Alabama,1041.0,1584,57.0
1469112,2021-06-30,Cullman,Alabama,1043.0,10008,201.0
1469113,2021-06-30,Dale,Alabama,1045.0,4946,117.0
1469114,2021-06-30,Dallas,Alabama,1047.0,3622,159.0
1469115,2021-06-30,DeKalb,Alabama,1049.0,9028,190.0
1469116,2021-06-30,Elmore,Alabama,1051.0,10315,214.0
1469117,2021-06-30,Escambia,Alabama,1053.0,4035,80.0
1469118,2021-06-30,Etowah,Alabama,1055.0,14241,366.0
1469119,2021-06-30,Fayette,Alabama,1057.0,2201,63.0
1469120,2021-06-30,Franklin,Alabama,1059.0,4326,81.0
1469121,2021-06-30,Geneva,Alabama,1061.0,2593,81.0
1469122,2021-06-30,Greene,Alabama,1063.0,937,34.0
1469123,2021-06-30,Hale,Alabama,1065.0,2274,78.0
1469124,2021-06-30,Henry,Alabama,1067.0,1953,44.0
1469125,2021-06-30,Houston,Alabama,1069.0,10840,289.0
1469126,2021-06-30,Jackson,Alabama,1071.0,7040,114.0
1469127,2021-06-30,Jefferson,Alabama,1073.0,81290,1569.0
1469128,2021-06-30,Lamar,Alabama,1075.0,1476,38.0
1469129,2021-06-30,Lauderdale,Alabama,1077.0,9645,251.0
1469130,2021-06-30,Lawrence,Alabama,1079.0,3144,100.0
1469131,2021-06-30,Lee,Alabama,1081.0,16332,177.0
1469132,2021-06-30,Limestone,Alabama,1083.0,10209,158.0
1469133,2021-06-30,Lowndes,Alabama,1085.0,1421,54.0
1469134,2021-06-30,Macon,Alabama,1087.0,1635,52.0
1469135,2021-06-30,Madison,Alabama,1089.0,35846,526.0
1469136,2021-06-30,Marengo,Alabama,1091.0,2509,66.0
1469137,2021-06-30,Marion,Alabama,1093.0,3286,106.0
1469138,2021-06-30,Marshall,Alabama,1095.0,12493,231.0
1469139,2021-06-30,Mobile,Alabama,1097.0,42393,839.0
1469140,2021-06-30,Monroe,Alabama,1099.0,1826,41.0
1469141,2021-06-30,Montgomery,Alabama,1101.0,25124,614.0
1469142,2021-06-30,Morgan,Alabama,1103.0,14666,287.0
1469143,2021-06-30,Perry,Alabama,1105.0,1087,27.0
1469144,2021-06-30,Pickens,Alabama,1107.0,2372,62.0
1469145,2021-06-30,Pike,Alabama,1109.0,3150,78.0
1469146,2021-06-30,Randolph,Alabama,1111.0,1882,44.0
1469147,2021-06-30,Russell,Alabama,1113.0,4560,42.0
1469148,2021-06-30,Shelby,Alabama,1117.0,25725,255.0
1469149,2021-06-30,St. Clair,Alabama,1115.0,10201,250.0
1469150,2021-06-30,Sumter,Alabama,1119.0,1062,32.0
1469151,2021-06-30,Talladega,Alabama,1121.0,8482,185.0
1469152,2021-06-30,Tallapoosa,Alabama,1123.0,4153,155.0
1469153,2021-06-30,Tuscaloosa,Alabama,1125.0,26229,464.0
1469154,2021-06-30,Walker,Alabama,1127.0,7371,282.0
1469155,2021-06-30,Washington,Alabama,1129.0,1706,39.0
1469156,2021-06-30,Wilcox,Alabama,1131.0,1272,31.0
1469157,2021-06-30,Winston,Alabama,1133.0,2838,72.0
1469158,2021-06-30,Aleutians East Borough,Alaska,2013.0,367,3.0
1469159,2021-06-30,Aleutians West Census Area,Alaska,2016.0,730,0.0
1469160,2021-06-30,Anchorage,Alaska,2020.0,30990,176.0
1469161,2021-06-30,Bethel Census Area,Alaska,2050.0,3917,22.0
1469162,2021-06-30,Bristol Bay plus Lake and Peninsula,Alaska,2997.0,201,0.0
1469163,2021-06-30,Denali Borough,Alaska,2068.0,111,0.0
1469164,2021-06-30,Dillingham Census Area,Alaska,2070.0,233,2.0
1469165,2021-06-30,Fairbanks North Star Borough,Alaska,2090.0,8002,44.0
1469166,2021-06-30,Haines Borough,Alaska,2100.0,28,0.0
1469167,2021-06-30,Juneau City and Borough,Alaska,2110.0,1469,3.0
1469168,2021-06-30,Kenai Peninsula Borough,Alaska,2122.0,4551,19.0
1469169,2021-06-30,Ketchikan Gateway Borough,Alaska,2130.0,656,1.0
1469170,2021-06-30,Kodiak Island Borough,Alaska,2150.0,1122,6.0
1469171,2021-06-30,Kusilvak Census Area,Alaska,2158.0,1401,4.0
1469172,2021-06-30,Matanuska-Susitna Borough,Alaska,2170.0,11795,58.0
1469173,2021-06-30,Nome Census Area,Alaska,2180.0,405,0.0
1469174,2021-06-30,North Slope Borough,Alaska,2185.0,1082,4.0
1469175,2021-06-30,Northwest Arctic Borough,Alaska,2188.0,625,2.0
1469176,2021-06-30,Petersburg Borough,Alaska,2195.0,166,0.0
1469177,2021-06-30,Prince of Wales-Hyder Census Area,Alaska,2198.0,175,2.0
1469178,2021-06-30,Sitka City and Borough,Alaska,2220.0,366,1.0
1469179,2021-06-30,Skagway Municipality,Alaska,2230.0,21,0.0
1469180,2021-06-30,Southeast Fairbanks Census Area,Alaska,2240.0,766,5.0
1469181,2021-06-30,Unknown,Alaska,,293,0.0
1469182,2021-06-30,Valdez-Cordova Census Area,Alaska,2261.0,685,2.0
1469183,2021-06-30,Wrangell City and Borough,Alaska,2275.0,63,0.0
1469184,2021-06-30,Yakutat plus Hoonah-Angoon,Alaska,2998.0,81,2.0
1469185,2021-06-30,Yukon-Koyukuk Census Area,Alaska,2290.0,368,4.0
1469186,2021-06-30,Apache,Arizona,4001.0,11491,436.0
1469187,2021-06-30,Cochise,Arizona,4003.0,12206,293.0
1469188,2021-06-30,Coconino,Arizona,4005.0,18051,331.0
1469189,2021-06-30,Gila,Arizona,4007.0,7089,229.0
1469190,2021-06-30,Graham,Arizona,4009.0,5594,85.0
1469191,2021-06-30,Greenlee,Arizona,4011.0,577,10.0
1469192,2021-06-30,La Paz,Arizona,4012.0,2495,78.0
1469193,2021-06-30,Maricopa,Arizona,4013.0,560181,10280.0
1469194,2021-06-30,Mohave,Arizona,4015.0,23764,752.0
1469195,2021-06-30,Navajo,Arizona,4017.0,16694,552.0
1469196,2021-06-30,Pima,Arizona,4019.0,117731,2427.0
1469197,2021-06-30,Pinal,Arizona,4021.0,54003,907.0
1469198,2021-06-30,Santa Cruz,Arizona,4023.0,8085,180.0
1469199,2021-06-30,Yavapai,Arizona,4025.0,19595,528.0
1469200,2021-06-30,Yuma,Arizona,4027.0,37319,848.0
1469201,2021-06-30,Arkansas,Arkansas,5001.0,2219,38.0
1469202,2021-06-30,Ashley,Arkansas,5003.0,2062,35.0
1469203,2021-06-30,Baxter,Arkansas,5005.0,3445,104.0
1469204,2021-06-30,Benton,Arkansas,5007.0,29891,423.0
